Group,link
SpecFlow,Executing SpecFlow Scenarios — documentation
SpecFlow,Dependency Injection and Context Injection - Test Management
SpecFlow,Install Visual Studio extension — documentation (specflow.org)
SpecFlow,Exercise — documentation (specflow.org)
SpecFlow,Examples — documentation (specflow.org)
SpecFlow,Bookshop Example — documentation (specflow.org)
Selenium,Selenium with Page Object Model Pattern — documentation (specflow.org)
Selenium,Swag Labs (saucedemo.com)
Selenium,STORE (demoblaze.com)
Selenium,Best Selenium Practice Websites for Test Automation (bugbug.io)
Fluent,Introduction - Fluent Assertions
Fluent,Tips - Fluent Assertions
NUnit,NUnit Documentation | NUnit Docs
NUnit,Attributes | NUnit Docs
C++,C++ Tutorial (w3schools.com)
C++,C++ Tutorial (tutorialspoint.com)
C++,C++ Exercises (w3schools.com)
C++,C++ Quiz (w3schools.com)
C++,"C++ Basic - Exercises, Practice, Solution - w3resource"
C++,C++ Exercises - C++ Practice Set with Solutions (geeksforgeeks.org)
C++,C++ Certification (w3schools.com)
C++,Naming Convention in C++ - GeeksforGeeks
Unreal Engine,Automation Test Framework in Unreal Engine | Unreal Engine 5.4 Documentation | Epic Developer Community (epicgames.com)
Unreal Engine,Unreal Engine on GitHub
Unreal Engine,Downloading Unreal Engine Source Code | Unreal Engine 5.4 Documentation | Epic Developer Community (epicgames.com)
Unreal Engine,EpicGames/UnrealEngine: Unreal Engine source code (github.com)
Unreal Engine,All UFUNCTION Specifiers · ben🌱ui (benui.ca)
Unreal Engine,All UPROPERTY Specifiers · ben🌱ui (benui.ca)
Unreal Engine,Coding Standard | Unreal Engine 4.27 Documentation | Epic Developer Community (epicgames.com)
Unreal Engine,Folders safe to delete to recompile everything - Programming & Scripting / Blueprint - Epic Developer Community Forums (unrealengine.com)
Unreal Engine,Unit testing private functionality in Unreal Engine C++ classes - DEV Community
Unreal Engine,Documentation | Epic Developer Community (epicgames.com)
Unreal Engine,GameDev Pensieve - Testing
Unreal Engine,How we create (real) UnitTests for Unreal Engine with GoogleMock | MaibornWolff
Unreal Engine,Reinforcement Learning in UE 5 for Level QA Testing | Epic Developer Community (epicgames.com)
Unreal Engine,Considerations On Testing UE4 Classes | Unreal Engine Community Wiki (unrealcommunity.wiki)
Unreal Engine,"Considerations On Testing UE4 Classes Part I: Worlds, Ticks and Forces | Unreal Engine Community Wiki (unrealcommunity.wiki)"
Unreal Engine,Slate Overview for Unreal Engine | Unreal Engine 5.4 Documentation | Epic Developer Community (epicgames.com)
Unreal Engine,Unreal Engine 5 – Full Course for Beginners (youtube.com)
Unreal Engine,Unreal Gameplay Ability System - FULL COURSE (youtube.com)
Unreal Engine,Unreal_Checklist-1.pdf (qatestlab.com)
Unreal Engine,Advanced Debugging in Unreal Engine | Epic Developer Community (epicgames.com)
Unreal Engine,Unreal Engine C++ Complete Guide - Tom Looman
Unreal Engine,UE4 Automation Testing | Squareys' Blog
Unreal Engine,Tutorial 25: Fix Compile Button Unreal Engine 4 Multiplayer Tutorial Series (youtube.com)
Unreal Engine,Plugins | Unreal Engine 4.27 Documentation | Epic Developer Community (epicgames.com)
Unreal Engine,UNREAL ENGINE 5.4 - Unreal Engine Public Roadmap | Product Roadmap (productboard.com)
Unreal Engine,Unreal Automated Testing (xynanxdb.wixsite.com)
Unreal Engine,Unreal Engine Mentor-Free Unreal Engine Expertise (yeschat.ai)
Unreal Engine,WTF Is? Visual Logger - All Nodes - YouTube
3D Models,3D Models for Professionals :: TurboSquid
3D Models,Stylized Trees and Foliage 3D Model Pack free VR / AR / low-poly 3D model animated rigged | CGTrader
Unity (Subject to change),Unity Test Framework overview | Test Framework | 2.0.1-exp.2 (unity3d.com)
Unity (Subject to change),Namespace UnityEngine.TestTools.Utils | Test Framework | 2.0.1-exp.2 (unity3d.com)
Unity (Subject to change),Unity - Manual: Assembly definitions (unity3d.com)
Unity (Subject to change),Unity Automation - YouTube
Unity (Subject to change),What is CI/CD? Continuous Integration & Delivery Explained | Unity
Unity (Subject to change),XR Interaction Toolkit | XR Interaction Toolkit | 3.0.5 (unity3d.com)
Unity (Subject to change),taphos/unity-uitest: Unity UI Test Automation Framework (github.com)
Unity (Subject to change),Unity Test Framework Features | Test Framework | 2.0.1-exp.2 (unity3d.com)
Unity (Subject to change),Performance benchmarking in Unity: How to get started
Unity (Subject to change),Performance Testing Extension for Unity Test Runner | Package Manager UI website (unity3d.com)
Unity (Subject to change),QA your code: The new Unity Test Framework - Unite Copenhagen (youtube.com)
Unity (Subject to change),Class UnityTestAttribute | Test Framework | 2.0.1-exp.2 (unity3d.com)
Unity (Subject to change),Test | NUnit Docs
Unity (Subject to change),How to run automated tests for your games with the Unity Test Framework
Unity (Subject to change),AR Interaction Overview | XR Interaction Toolkit | 3.0.5 (unity3d.com)
Unity (Subject to change),How to Setup a Project for Testing (Unity Tutorial) - YouTube
Unity (Subject to change),Pricing (odininspector.com)
Unity (Subject to change),Zero-code Automation Testing In Action | Oculus Developers
Unity (Subject to change),Automated Unity UI Testing using LLMs — Open Beta | by Aaron Vontell | Medium
Unity (Subject to change),Regression-Games/RegressionGames.Unity.Testing: Regression Games Unity Testing SDK (github.com)
Unity (Subject to change),CI/CD Cloud Build Automation & Deployment Tools | Unity (archive.org)
Unity (Subject to change),Welcome | Test Framework | 1.3.9 (archive.org)
Game Automation Tools,unity odin validator - YouTube
Game Automation Tools,electronicarts/IRIS: EA’s photosensitivity analysis tool (github.com)
Game Automation Tools,fonttik/LICENSE.txt at main · electronicarts/fonttik (github.com)
Game Automation Tools,CMake projects in Visual Studio | Microsoft Learn
Game Automation Tools,Use the Microsoft C++ toolset from the command line | Microsoft Learn
Game Automation Tools,User Interaction Guide — CMake 3.30.3 Documentation
Game Automation Tools,cmake-gui(1) — CMake 3.30.3 Documentation
Game Automation Tools,Download CMake
Game Automation Tools,Learn Accessibility — W3Schools.com
Game Automation Tools,"microsoft/playwright: Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. (github.com)"
Game Automation Tools,sony hydra - Google Search
Game Automation Tools,AutoplayAutomation/Autoplay_Samples (github.com)
Game Automation Tools,DaedalicEntertainment/ue4-test-automation: Facilitates setting up integration test suits with Unreal Engine 4 Gauntlet. (github.com)
Game Automation Tools,electronicarts/fonttik: Fonttik is a text size & contrast checking solution created by EACC Tech to check accessibility criteria regarding text readability (github.com)
Game Automation Tools,Unreal Engine Angelscript | Script Tests (hazelight.se)
Game Automation Tools,Adding test automation to your game development project | AltTester®
Game Automation Tools,GameDriver Testing Functions – Test Guild Courses
Game Automation Tools,Home | GameDriver
Game Automation Tools,ue4-test-automation/Documentation at develop · DaedalicEntertainment/ue4-test-automation (github.com)
Game Automation Tools,Tools | Test automation tools for Unity apps and games - AltTester®
Game Automation Tools,StudioGobo/UECollisionQueryTools: The collision query tools mentioned in the UnrealFest 23 talk Making Sense Of Collision Data (github.com)
Game Automation Tools,GameDriver-Resources
Game Automation Tools,XRDriver | Home (gamedriver.io)
Jenkins Github CI,UE4-TDD-CI_Testing/Jenkinsfile at master · Floating-Island/UE4-TDD-CI_Testing (github.com)
Jenkins Github CI,Jenkins Beginner Tutorial 8 - Jenkins integration with GIT (SCM) (youtube.com)
Jenkins Github CI,Jenkins Beginner Tutorial 10 - How to use CATLIGHT (Jenkins Build Monitor) (youtube.com)
Jenkins Github CI,Jenkins Tips n Tricks - YouTube
Jenkins Github CI,jenkinsci/jenkins: Jenkins automation server (github.com)
Jenkins Github CI,Jenkins
Jenkins Github CI,Jenkins CLI
Jenkins Github CI,Estranged Dev Blog #14: Building UE4 with Jenkins (youtube.com)
Jenkins Github CI,Unreal and DevOps: Part 3 Setting up the Project Jenkins Build Job (youtube.com)
Jenkins Github CI,Steamworks Tutorials - YouTube
Jenkins Github CI,Automating Unreal Engine project builds for Steam using GitHub | by Douglas Lassance | Medium
Jenkins Github CI,"Jenkins, CI and Test-Driven Development | Unreal Engine Community Wiki (unrealcommunity.wiki)"
Jenkins Github CI,Save time with GitHub build automation for Unreal Engine (inworld.ai)
GoDot,Test Driven Development in Godot with GUT (Tutorial) (youtube.com)
GoDot,TDD Real world example Test driven development - Godot Tutorial GUT testing Part3 by Rainware (youtube.com)
GoDot,bitwes/Gut: Godot Unit Test. Unit testing tool for Godot Game Engine. (github.com)
Accessability,Web Content Accessibility Guidelines (WCAG) 2.2 (w3.org)
Accessability,How to Meet WCAG (Quickref Reference) (w3.org)
GameAutomation talks/ info board,Game Automated Testing Resource Hub | Trello
GameAutomation talks/ info board,Automated Testing Roundtables GDC 2024 (autotestingroundtable.com)
Unreal Engine Examples,LearningUnrealEngine/Unit tests source notes.md at master · ibbles/LearningUnrealEngine (github.com)
Unreal Engine Examples,Unit-testing with Unreal Engine 4 (zuru.tech)
Unreal Engine Examples,Automated Testing With Specs in Unreal Engine | Francesco's GameDev Corner (minifloppy.it)
Unreal Engine Examples,code-examples/automated-testing-specs-ue5 at main · fcamarlinghi/code-examples (github.com)
Unreal Engine Examples,UE4NewAutomationTests/AutoTest/Source/AutoTest/Tests at master · zompi2/UE4NewAutomationTests (github.com)
Unreal Engine Examples,Unreal Engine 4 Automation Tests New API (zompidev.blogspot.com)
Unreal Engine Examples,UE4 Gameplay Ability System Basic Implementation (github.com)
Unreal Engine Examples,test544/UE5_AutotestsExample (github.com)
Unreal Engine Examples,Building Complex Functional Tests · ben🌱ui (benui.ca)
Unreal Engine Examples,Testing and Test Driven Development in Unreal · ben🌱ui (benui.ca)
Unreal Engine Examples,Gauntlet Automated Testing and Performance Metrics in UE4 - HŌRU (horugame.com)
Unreal Engine Examples,Unit and integration testing in Unreal Engine - Show - GameDev.tv
Unreal Engine Examples,Unreal Engine #09 - Screenshot Comparison Tool (Testing the Game UI) - YouTube
Unreal Engine Examples,UE4-TDD-CI_Testing/Source/CITesting/Tests at master · Floating-Island/UE4-TDD-CI_Testing (github.com)
Unreal Engine Examples,Automated Testing for an Unreal Engine Project - Mobile Testing | Kobiton
Unreal Engine Examples,spec.cpp (github.com)
Unreal Engine Examples,Functional Tests with Gauntlet - Edward Beazer Blog
Unreal Engine Examples,Cropout Casual RTS Sample Project Guided Tour | Unreal Engine (youtube.com)
Unreal Engine Examples,How to Write Great Unit Tests – Jessica Baker
Unreal Engine Examples,Tests and Testability – Jessica Baker
Unreal Engine Examples,UE-FunctionalTests/BUITests.h at main · benui-dev/UE-FunctionalTests (github.com)
Unreal Engine Examples,UE-Testing/Source/Testing/Tests/Pawns/PlayerPawnTests.cpp at master · jimmyt1988/UE-Testing (github.com)
Unreal Engine Examples,ProjectR/Source/TestingModule/Testing at master · Floating-Island/ProjectR (github.com)
Unreal Engine Examples,Automation Testing In Cryowar | Kipi Interactive
Unreal Engine Examples,Tutorial: Custom GUI with Slate Styles | Unreal Engine 4 / 5 blog (michalorzelek.com)
Unreal Engine Examples,ChibaChaba by PabloErizo (itch.io)
Unreal Engine Examples,ArabicProjectClean/Source/ChibaChaba/Private/Tests/Test_UMG.cpp at main · PablushaRubeCube/ArabicProjectClean (github.com)
Unreal Engine Examples,tranek/GASDocumentation: My understanding of Unreal Engine 5's GameplayAbilitySystem plugin with a simple multiplayer sample project. (github.com)
Unreal Engine Examples,GASShooter/Source/GASShooter/Private at master · tranek/GASShooter (github.com)
Unreal Engine Examples,UnrealEngineProjects/WTF_Examples/Content/Examples/WTF/VisLog at WTF-Examples · MWadstein/UnrealEngineProjects (github.com)
UE5 Source test examples,Code search results (github.com)
UE5 Source test examples,UnrealEngine/Engine/Plugins/Tests/EditorTests/Source/EditorTests/Private/UnrealEd/BlueprintAutomationTests.cpp at 16dc333db3d6439c7f2886cf89db8907846c0e8a · EpicGames/UnrealEngine (github.com)
UE5 Source test examples,UnrealEngine/Engine/Source/Runtime/Engine/Private/GameFramework/Tests/HapticTests.cpp at c830445187784f1269f43b56f095493a27d5a636 · EpicGames/UnrealEngine (github.com)
UE5 Source test examples,UnrealEngine/Engine/Plugins/Tests/EditorTests/Source/EditorTests/Private/UnrealEd/EditorPerformanceTests.cpp at 5.4.3-release · EpicGames/UnrealEngine (github.com)
UE5 Source test examples,UnrealEngine/Engine/Plugins/Tests/WidgetAutomationTests/Source/WidgetAutomationTests at 5.4.3-release · EpicGames/UnrealEngine (github.com)
UE5 Source test examples,UnrealEngine/Engine/Source/Runtime/Engine/Private/Tests/EngineAutomationTests.cpp at c830445187784f1269f43b56f095493a27d5a636 · EpicGames/UnrealEngine (github.com)
UE5 Source test examples,UnrealEngine/Engine/Plugins/Tests/AutomationDriverTests/Source/AutomationDriverTests/Private/SAutomationDriverSpecSuite.cpp at c830445187784f1269f43b56f095493a27d5a636 · EpicGames/UnrealEngine (github.com)
UE5 Source test examples,UnrealEngine/Engine/Plugins/Tests/AutomationDriverTests/Source/AutomationDriverTests/Private/AutomationDriver.spec.cpp at c830445187784f1269f43b56f095493a27d5a636 · EpicGames/UnrealEngine (github.com)
UE5 Source test examples,UnrealEngine/Engine/Plugins/Tests/EditorTests/Source/EditorTests/Private/UnrealEd/EditorAutomationTests.cpp at 16dc333db3d6439c7f2886cf89db8907846c0e8a · EpicGames/UnrealEngine (github.com)
UE5 Source test examples,UnrealEngine/Engine/Source/Runtime/Engine/Private/Tests/EngineAutomationTests.cpp at c830445187784f1269f43b56f095493a27d5a636 · EpicGames/UnrealEngine (github.com)
Usefull general,Exercism
Usefull general,Tools QA
Usefull general,Codewars - Achieve mastery through coding practice and developer mentorship
Usefull general,C-Sharp-Exercises/Exercises.cs at master · Ishamoridin/C-Sharp-Exercises (github.com)
Usefull general,Game Developer Roadmap
Usefull general,Game UI Database - Beat Saber
Free+Paid Courses,Game Testing (istqb.org)
Free+Paid Courses,Playwright Automation Testing from Scratch with Framework | Udemy
Free+Paid Courses,Free Online SkillUp Courses (simplilearn.com)
